1	50	78	33	39	34
2	69	18	17	58	29
3	1	7	0	5	4
4	89	21	72	74	57
5	50	45	13	85	53
6	37	65	72	85	24
7	4	34	2	37	74
8	37	6	93	54	65
9	22	39	11	90	94
10	71	78	15	42	53
11	74	92	99	86	77
12	53	24	43	25	9
13	67	30	44	70	68
14	19	7	74	12	61
15	40	35	0	51	25
16	96	21	4	11	64
17	59	84	56	57	71
18	34	11	96	77	36
19	5	44	67	50	14
20	36	69	22	10	82
21	84	50	17	84	1
22	44	79	23	48	91
23	89	7	75	45	65
24	48	79	76	44	57
25	13	49	2	80	0
26	17	16	69	39	26
27	52	23	77	69	7
28	80	13	87	3	61
29	79	91	68	54	36
30	34	2	16	10	46
31	73	23	96	75	4
32	97	92	20	65	31
33	48	17	54	24	87
34	62	4	0	49	7
35	63	27	98	31	82
36	35	65	84	51	75
37	30	24	99	26	0
38	3	22	92	23	88
39	24	71	5	78	96
40	94	40	0	93	89
41	8	56	17	7	88
42	100	42	53	83	93
43	29	13	18	28	40
44	19	31	62	11	55
45	51	34	27	56	13
46	24	50	53	24	44
47	43	33	0	60	40
48	89	59	82	42	43
49	77	71	57	95	0
50	98	14	32	60	25
51	88	11	60	15	68
52	74	39	18	26	64
53	63	70	97	63	30
54	37	51	90	19	94
55	34	96	65	91	91
56	66	88	5	97	48
57	31	85	60	90	1
58	29	64	40	47	91
59	5	10	61	2	73
60	92	39	25	82	59
61	19	15	56	85	6
62	48	50	95	53	48
63	44	84	34	4	75
64	35	33	39	75	81
65	31	81	91	92	83
66	65	83	23	90	66
67	84	9	81	39	94
68	89	87	45	83	41
69	95	28	25	28	33
70	0	63	66	40	39
71	48	71	20	39	63
72	4	4	47	27	94
73	13	11	4	95	51
74	100	84	39	44	67
75	81	39	96	5	67
76	29	6	31	96	47
77	71	44	18	91	83
78	83	96	87	30	24
79	83	43	35	86	39
80	88	86	23	26	31
81	92	6	70	87	12
82	38	17	19	69	13
83	67	40	57	85	32
84	41	67	28	28	97
85	53	11	41	89	97
86	81	76	84	4	2
87	15	95	8	85	83
88	21	23	0	40	92
89	13	6	33	71	92
90	66	12	59	94	40
91	58	47	51	99	36
92	50	80	13	33	85
93	15	48	81	24	34
94	65	45	57	65	86
95	51	79	93	84	50
96	86	49	62	45	44
97	3	3	92	55	3
98	29	4	84	42	38
99	70	57	87	51	82
100	21	16	27	79	81
